角色,台词,情感分数
德瑞纳夫人,在暗夜中耀眼,0.986753
德瑞纳夫人,你要我怎么改变,0.0139013
德瑞纳夫人,习惯了旁门左道,0.614147
德瑞纳夫人,说谎更不假思索,0.155391
德瑞纳夫人,然而我感到汹涌袭来的爱,0.46316
德瑞纳夫人,别告诉我,0.654412
德瑞纳夫人,这份爱只因你不在,0.674741
德瑞纳夫人,别告诉我,0.654412
德瑞纳夫人,这一切只是海市蜃楼,0.983977
德瑞纳夫人,今日我爱你,0.999426
德瑞纳夫人,情不知何起,0.0682032
德瑞纳夫人,我已一往情深,0.983696
德瑞纳夫人,如若不爱我,0.0154752
德瑞纳夫人,你的心为谁而跳,0.430816
德瑞纳夫人,三人合唱：阴晴不定,0.965046
德瑞纳夫人,是爱情本来的面目,0.986789
德瑞纳夫人,当你拥抱着我,0.940302
德瑞纳夫人,我已开始厌倦,0.500835
德瑞纳夫人,爱到不知所措,0.999769
德瑞纳夫人,即使想逃,0.203875
德瑞纳夫人,还是躲不开这份爱,0.0444516
德瑞纳夫人,于连？,0.0106936
德瑞纳夫人,瓦勒诺夫人，您要是知道...我又怎能料到呢？把我们都给利用了！,0.00174074
德瑞纳夫人,您在说些什么？他做了什么？,0.00106779
德瑞纳夫人,瓦勒诺：我不想让这种龌龊事脏了您的耳朵。,0.00178696
德瑞纳夫人,告诉我吧，我要知道。,0.314956
德瑞纳夫人,瓦勒诺：不说好像也不好！于连，就快把拉莫尔侯爵给毁了。还扮出一副无辜的样子，披上所谓宗教使命的羊皮，操纵这个毫无戒心的贵族侯爵视他为忠心的仆人而他呢，早把侯爵玩弄于鼓掌之间骗到了他的亲闺女，还要把他的财产洗劫一空呢！,1.12488e-05
德瑞纳夫人,于连？这绝对不可能。,0.000229002
德瑞纳夫人,瓦勒诺：这可是于连亲口所言，在侯爵府的宴会上，我低声下气的向他讨几个钱来救济穷人他全都承认了，在灌了几杯香槟之后还带着轻蔑的笑。我目瞪口呆，他还边嘲笑边吹着牛，说他曾经勾引过您您啊，露易丝！我听不得这种荒唐事，当场就把手套甩过去了。,0.00176536
德瑞纳夫人,于连！,0.765224
德瑞纳夫人,抱歉。,0.0562807
德瑞纳夫人,杰洛尼莫：振作起来，我的朋友！你知道的，在巴黎，大家欣赏的是高冷的姿态，而不是忧郁的气质。,0.9406
德瑞纳夫人,"侯爵先生，处于神圣的宗教信仰以及道德义务，我必须忍痛告诉您，,于连-索雷尔先生是一个毫无宗教准则的人，他成功的手段，就是勾引一家中最有影响力的女人，披着不问世事的羊皮，念上几句拉丁语，他唯一的野心其实就是摆布一家之主，得到他的财富。",0.985604
德瑞纳夫人,于连，我来是为了请求你上诉,0.0958588
德瑞纳夫人,原谅你？明明我才是罪人。我被人骗了，于连，我被利用了。对不起，请原谅我！,2.61637e-05
德瑞纳夫人,那你就必须活着！,0.00761222
玛蒂尔德,父亲，我真是开心死了，再开心一点点都不行了你可是这场舞会最耀眼的珍珠。那些风流绅士都拜倒在你的石榴裙下了准确的说，每个人都想把我别在胸前当漂亮首饰。他们就差拿个放大镜来看看我到底值多少钱了！,0.83085
玛蒂尔德,拉穆尔侯爵：啊呀玛蒂尔德！这些年轻人中还是有身价的完全配得上你。那个年轻的夸泽诺侯爵，不是挺迷人的吗？,0.358548
玛蒂尔德,迷人是不错，可他嘴里一切都是迷人的，有趣的，可爱的。听了几分钟以后，我就感觉塞了好多棉花糖，特别想吐！,0.942971
玛蒂尔德,拉穆尔侯爵：卡鲁斯男爵呢？,0.0418958
玛蒂尔德,也不错啊。可幸好天气变化无常。时而晴天，时而下雨，时而刮风不然我们可就没什么话可聊啦真没劲，真没劲，这些先生殷勤不断却了然无趣，真没劲，真没劲，这些良夫贤婿金玉其外，但是却败絮其中,0.0637563
玛蒂尔德,拉穆尔侯爵：我的乖女儿啊，别这么倔强，以你的聪明才智，足以启发你未来的丈夫，也让你的优雅独自凋谢。你知道我期待着你婚姻美满，快去在这些贵族小伙子里挑个丈夫吧，也好让我开心开心！,0.999092
玛蒂尔德,为什么要对贵族身份如此重视呢？明明您自己当着他们的面还打哈欠，父亲你就承认了吧，也就是在那个毫无地位的小秘书陪着你的时候，我才看到您发自真心的一笑，虽然他根本都不好笑,6.01138e-05
玛蒂尔德,拉穆尔侯爵：玛蒂尔德，我不喜欢你这般愤世嫉俗于连并不是个外向的孩子，但是他,0.382098
玛蒂尔德,父亲，你是在说那个不入流的小秘书吗？,0.000390889
玛蒂尔德,拉穆尔侯爵：于连索雷尔是个十分杰出的小伙子，不该受到你这样轻蔑的鄙夷，过去这四个月真是在生意上帮了大忙，他非常聪明，兢兢业业，还有很强的求知欲，他对我的藏书阁也异常的看重,0.980873
玛蒂尔德,他看起来确实很严肃，甚至可以说冷若冰霜。,0.96076
玛蒂尔德,拉穆尔侯爵：他是个很敏感的人。压抑着他的叛逆又激烈的秉性，我觉得他很有意思，但有时也有些怕他身上有些特质会冒犯到大家。,0.895438
玛蒂尔德,你对他如此另眼相看，要不我嫁给他好了,0.00140074
玛蒂尔德,拉穆尔侯爵：我的女儿会成为侯爵夫人，公爵夫人，要么是男爵夫人。谁要是去追求这个男孩子，我佩服他的勇气，他对于女性有种近乎厌恶的冷淡，这也就能解释他的宗教使命，你看他跟杰洛尼莫在那边真是强烈的对比：阴暗和光明。他们聊的挺投缘的，能聊什么？于连平时都挺沉默的。你别在这听你的老父亲啰嗦了，快去尽情玩吧！去吧！去吧！,0.117242
玛蒂尔德,杰洛尼莫：我的好兄弟，让我把你变成一个花花公子吧，你天然有种忧郁的气质，这可是所有巴黎人拼命想要的,0.897277
玛蒂尔德,先生您好！,0.9958
玛蒂尔德,我找不到维利写的法国诗了。,0.39132
玛蒂尔德,你能向我推荐一些有意思的书吗？整个藏书阁您都了如指掌,0.664869
玛蒂尔德,不必了。,0.0300757
玛蒂尔德,你有拿破仑的书推荐吗？要知道我已经读过了，圣赫勒拿到回忆录和战争论，,0.817456
玛蒂尔德,我的确读过这些作品！崇敬伟大的人物，不论他们政见如何，我在为我们家族最伟大的人服丧。博尼法斯.德拉莫今天是他的祭日。,0.998691
玛蒂尔德,与您相伴的时光,0.999504
玛蒂尔德,我没有生在那个时代，今日已经没有真正的伟人了，拿破仑根本比不上,0.00595169
玛蒂尔德,你在威胁我吗？,8.48371e-05
玛蒂尔德,凌晨1点到花园来，到井旁取花匠的梯子，靠在我房间的窗台上爬进来，我有话跟你说。,0.738217
玛蒂尔德,你在找什么吗？,0.00262951
玛蒂尔德,谢谢你在颤抖。,0.835429
玛蒂尔德,今天整个下午天气都很棒，但晚上还是很凉。,0.980805
玛蒂尔德,当然，夏天也一定温柔怡人。你把我当什么人？！,0.486451
玛蒂尔德,你以为什么？,0.000427941
玛蒂尔德,不错，但我改变主意了。女人很多变的，晚安吧，先生！请从窗户出去。他跟别人一样，甚至还是个穷光蛋。,0.986717
玛蒂尔德,本该知足,0.950572
玛蒂尔德,他若即若离的距离,0.913883
玛蒂尔德,本该知足,0.950572
玛蒂尔德,他口是心非的话语,0.869108
玛蒂尔德,雾里看花,0.933471
玛蒂尔德,看我们之间不解的谜,0.0489478
玛蒂尔德,我已知足,0.995586
玛蒂尔德,曾轻率大胆地试探,0.963944
玛蒂尔德,我已知足,0.995586
玛蒂尔德,坦露我冷漠的内心,0.203919
玛蒂尔德,让她疑心重重,0.0278009
玛蒂尔德,让她心灰意冷,0.00801225
玛蒂尔德,我是你的谁,1.0
玛蒂尔德,你为何喜欢我,0.814572
玛蒂尔德,身体渴望着你,0.996044
玛蒂尔德,偏爱夜色动人,0.997993
玛蒂尔德,怎奈月色弄人,0.126825
玛蒂尔德,今日你爱我,0.948864
玛蒂尔德,明日却疏远,0.457237
玛蒂尔德,狂热转瞬成无情,0.0811589
玛蒂尔德,美梦落空添烦恼,0.417414
玛蒂尔德,我只向前这一步,0.690072
玛蒂尔德,每当我躲开你,0.988231
玛蒂尔德,你便来迎合我,0.874747
玛蒂尔德,当你深陷其中,0.971269
玛蒂尔德,我又抽身远离,0.034438
玛蒂尔德,每当我跟随你,0.998797
玛蒂尔德,你便会忘记我,0.763186
玛蒂尔德,而当我远离你,0.272055
玛蒂尔德,你又回头找我,0.983072
玛蒂尔德,阴晴不定,0.822877
玛蒂尔德,是爱情本来的面目,0.986789
玛蒂尔德,当你拥抱着我,0.940302
玛蒂尔德,我已开始厌倦,0.500835
玛蒂尔德,爱到不知所措,0.999769
玛蒂尔德,即使想逃,0.203875
玛蒂尔德,还是躲不开这份爱,0.0444516
玛蒂尔德,向欲望妥协,0.588848
玛蒂尔德,却不知所以,0.0065544
玛蒂尔德,梦着永恒的爱,0.996299
玛蒂尔德,却从床上坠落,0.140825
玛蒂尔德,发现只爱自己,0.223293
玛蒂尔德,理智已沦陷,0.0750411
玛蒂尔德,爱恋却迟到,0.613287
玛蒂尔德,为了生活而携手,0.999056
玛蒂尔德,世人都这样,0.175242
玛蒂尔德,我们也该亦步亦趋吗,0.0283562
玛蒂尔德,每当我躲开你,0.988231
玛蒂尔德,你便来迎合我,0.874747
玛蒂尔德,当你深陷其中,0.971269
玛蒂尔德,我又抽身远离,0.0344379
玛蒂尔德,每当我跟随你,0.998797
玛蒂尔德,你便会忘记我,0.763186
玛蒂尔德,而当我远离你,0.272055
玛蒂尔德,你又回头找我,0.983072
玛蒂尔德,阴晴不定,0.822877
玛蒂尔德,是爱情本来的面目,0.986789
玛蒂尔德,当你拥抱着我,0.940302
玛蒂尔德,我已开始厌倦,0.500835
玛蒂尔德,爱到不知所措,0.999769
玛蒂尔德,即使想逃,0.203875
玛蒂尔德,还是躲不开这份爱,0.0444516
玛蒂尔德,没什么，我只是有点困惑，你一直陪着元帅夫人身边,0.715931
玛蒂尔德,不可以，你已经把我忘了吗？,0.000383023
玛蒂尔德,不，于连，我真的爱你。我爱你。,0.982764
玛蒂尔德,我要成为你的女人，我要你…我要你娶我,0.298083
玛蒂尔德,考虑？！你到底爱不爱我？,0.000753505
玛蒂尔德,所以呢？,0.0173028
玛蒂尔德,你要一个保证？,0.0088587
玛蒂尔德,不是他的错,0.750567
玛蒂尔德,是我先爱上他的，是我先勾引他的。你也有责任,0.997501
玛蒂尔德,是你跟我说“他身上有些不俗的气质。“这是真的。在他身上我看到了高贵，是真实的，心灵的高贵,0.99919
玛蒂尔德,父亲，我们要结婚,0.994816
玛蒂尔德,不用烦心，我们会离开的，走得远远的，不会玷污了您的名声，没有人会认出索雷尔夫人是您的女儿，她不过是维利叶城一个木匠的儿媳妇。我不怕贫穷，我坚信于连一定有出头之日，摆脱低人一等的地位。和他在一起，我无惧混沌的未来。噢，我的父亲，不要憎恨他，想到给您带来痛苦，于连比我更煎熬。.父亲，我爱您，我……,0.950862
玛蒂尔德,玛蒂尔特父亲：够了。别说了，你出去吧，出去！,0.697886
玛蒂尔德,玛蒂尔特父亲：刚刚出生那一刻的你,0.984636
玛蒂尔德,是我见过最美的东西,0.999711
玛蒂尔德,你的人生想必一片光明,0.98725
玛蒂尔德,充满欢乐 和爱意,0.999952
玛蒂尔德,从拥有你的第一天起,0.99915
玛蒂尔德,我以为我已尽了全力,0.180322
玛蒂尔德,把我们之间的纽带维系,0.742186
玛蒂尔德,共同生活 和前进,0.996955
玛蒂尔德,拥着你在怀中睡着感觉太好,0.989674
玛蒂尔德,能在旁看你丫丫学步真的太好,0.986598
玛蒂尔德,做你的依靠,0.441033
玛蒂尔德,去珍藏 你微笑,0.99078
玛蒂尔德,而你 最好 听仔细,0.988615
玛蒂尔德,所有付出,0.993375
玛蒂尔德,再付出也于事无补,0.0135439
玛蒂尔德,当你不再需要为父的指引,0.643464
玛蒂尔德,所有怨气,0.138969
玛蒂尔德,随我们的亲情远离,0.630947
玛蒂尔德,若你宁愿选择陌生人陪你,0.00966358
玛蒂尔德,我把太多希望寄予你,0.202647
玛蒂尔德,有时看着镜子里倒影,0.957369
玛蒂尔德,仿佛看得到你的轨迹,0.972178
玛蒂尔德,有其父 必有其女,0.915738
玛蒂尔德,我为你编织一场梦境,0.992752
玛蒂尔德,瑰丽未来愿你不会醒,0.8936
玛蒂尔德,家族姓氏照耀你一生,0.986006
玛蒂尔德,你永远 别想抹去,0.0103578
玛蒂尔德,我期望的他乃一位人中英豪,0.671179
玛蒂尔德,能在我走之后真正让你过得好,0.996788
玛蒂尔德,做你的依靠,0.441033
玛蒂尔德,会珍藏 你微笑,0.996444
玛蒂尔德,而你 最好 听仔细,0.988615
玛蒂尔德,所有付出,0.993375
玛蒂尔德,再付出也于事无补,0.0135439
玛蒂尔德,当你不再需要为父的指引,0.643464
玛蒂尔德,所有怨气,0.138969
玛蒂尔德,随我们的亲情远离,0.630947
玛蒂尔德,若你宁愿选择陌生人陪你,0.00966358
玛蒂尔德,所有付出于事无补,0.322113
玛蒂尔德,你得知道 所有付出,0.97594
玛蒂尔德,我的付出于事无补,0.851439
玛蒂尔德,当你不再需要为父的指引,0.643464
玛蒂尔德,所有怨气,0.138969
玛蒂尔德,随我们的亲情远离,0.630947
玛蒂尔德,若你坚持那我只好放弃你,0.288144
玛蒂尔德,可是只要我还没咽气,0.104224
玛蒂尔德,我的孩子我守护到底,0.998195
玛蒂尔德,我总会原谅你的一切,0.990703
玛蒂尔德,我的心肝 我骨血,0.945095
玛蒂尔德,父亲，不要，除非你先杀了我！,0.000904432
玛蒂尔德,亲爱的，昨天带给你水果吃了吗？你得吃饭，才能恢复体力。明天！明天就要面对审判员了。你别担心，律师跟我说他很有信心，他会为你辩护，你不过是荣誉受辱而一时冲动。这也是事实，我也会为你作证。于连？你怎么不听我说话,0.1029
玛蒂尔德,我还私下见过陪审团主席，他会站在我们这边的。,0.945467
玛蒂尔德,钱不重要！审判就是场战争，我们必须要赢。想想我肚子里的孩子。,0.517011
玛蒂尔德,别说了！别再自怨自艾了！的确是有受害者，可却没有人死亡。我还没跟你说，她没死，她还活着。,3.82486e-05
玛蒂尔德,于连，德瑞纳夫人还活着。我得走了，我的天使，相信我。,0.802839
